gx,gy,gz,a1,a2,a3,a4
-0.14715359476893777,0.12330788819560248,0.3932692140063315,0,0,5,10
-0.14715359476893777,0.12330788819560248,0.3932692140063315,0,0,5,15
-0.14752469692853573,0.12297514620973003,0.392994774512819,0,0,5,20
-0.14759309832257517,0.12319512337974659,0.39305225510853914,0,0,5,25
-0.1478751505990877,0.12276929251063466,0.3916552459046987,0,0,5,30
-0.14814036958463575,0.12253606843568046,0.391951161396392,0,0,5,35
-0.14845380947188666,0.12196359262530526,0.3908920659930708,0,0,5,40
-0.14860228885981946,0.1216306075137795,0.3903054974063336,0,0,5,45
-0.14785803376446258,0.12100642764723185,0.3883894961711536,0,0,5,50
-0.14795180320743517,0.12054164023716657,0.3873648693175171,0,0,5,55
-0.14835032798074474,0.1200755758505432,0.3856418322622425,0,0,5,60
-0.1479541600628416,0.12055750599110514,0.38476484307159303,0,0,5,65
-0.14846790193135834,0.11976371479819387,0.38254842543377404,0,0,5,70
-0.14874021442915875,0.11898491285833188,0.3796483790225555,0,0,5,75
-0.14874298849841322,0.11876250329380311,0.37696510408319855,0,0,5,80
-0.14906089580455062,0.11813286586808394,0.3733182950492297,0,0,5,85
-0.1477541438349573,0.10626848388118065,0.3477456549113003,0,0,5,90
-0.14686027287768072,0.12149751455271253,0.39228555062716225,0,0,10,15
-0.1472313750372787,0.12116477256684008,0.3920111111336497,0,0,10,20
-0.14729977643131817,0.12138474973685663,0.39206859172936986,0,0,10,25
-0.1475818287078307,0.12095891886774474,0.3906715825255294,0,0,10,30
-0.14784704769337872,0.12072569479279054,0.39096749801722275,0,0,10,35
-0.1481604875806296,0.12015321898241532,0.38990840261390153,0,0,10,40
-0.14827221554368242,0.11968654541303977,0.38856035501961994,0,0,10,45
-0.14752796044832553,0.11906236554649212,0.3866443537844399,0,0,10,50
-0.14762172989129815,0.11859757813642684,0.38561972693080343,0,0,10,55
-0.14802025466460766,0.11813151374980345,0.3838966898755289,0,0,10,60
-0.14762408674670452,0.1186134438903654,0.3830197006848794,0,0,10,65
-0.14799919367364417,0.11801076874706519,0.3810726831146589,0,0,10,70
-0.14827150617144458,0.11723196680720319,0.3781726367034403,0,0,10,75
-0.1482742802406991,0.11700955724267442,0.3754893617640833,0,0,10,80
-0.1485921875468365,0.11637991981695527,0.37184255273011446,0,0,10,85
-0.14728543557724316,0.10451553783005198,0.34626991259218504,0,0,10,90
-0.14705961595036718,0.11940809712241039,0.3910792483977555,0,0,15,20
-0.14712801734440661,0.11962807429242694,0.39113672899347574,0,0,15,25
-0.14741006962091915,0.11920224342331502,0.3897397197896352,0,0,15,30
-0.1475371077056053,0.11835251866758752,0.3892175820731778,0,0,15,35
-0.14765806888342956,0.1174811855179724,0.38745395751220724,0,0,15,40
-0.14776979684648237,0.11701451194859683,0.3861059099179257,0,0,15,45
-0.14702554175112548,0.11639033208204919,0.38418990868274566,0,0,15,50
-0.1471193111940981,0.1159255446719839,0.3831652818291092,0,0,15,55
